Elev (deg)	HE SNRmargin (m)
2.72265	4.147989802
2.7327	4.17169707
2.74275	4.195763223
2.7528	4.220470644
2.76285	4.245913987
2.7729	4.272233442
2.78295	4.299207871
2.793	4.326727464
2.80305	4.354512722
2.8131	4.382253963
2.82315	4.409984276
2.8332	4.437695284
2.84325	4.465622111
2.8533	4.49400607
2.86335	4.523068584
2.8734	4.553063745
2.88345	4.583940291
2.8935	4.615682708
2.90355	4.648054321
2.9136	4.680677518
2.92365	4.71336698
2.9337	4.745991996
2.94375	4.778688499
2.9538	4.811659373
2.96385	4.845262836
2.9739	4.879646246
2.98395	4.915124464
2.994	4.951775121
3.00405	4.989343237
3.0141	5.027540597
3.02415	5.066142769
3.0342	5.104861029
3.04425	5.143582027
3.0543	5.182443887
3.06435	5.221658967
3.0744	5.261623671
3.08445	5.302663188
3.0945	5.345021681
3.10455	5.388675079
3.1146	5.433403912
3.12465	5.478957109
3.1347	5.524971345
3.14475	5.571157279
3.1548	5.6174527
3.16485	5.663970663
3.1749	5.711071958
3.18495	5.759040948
3.195	5.808324769
3.20505	5.859178986
3.2151	5.911643526
3.22515	5.965464978
3.2352	6.020233927
3.24525	6.075661991
3.2553	6.131296609
3.26535	6.187086851
3.2754	6.243326466
3.28545	6.30026029
3.2955	6.358394283
3.30555	6.418235977
3.3156	6.479974684
3.32565	6.543667498
3.3357	6.608993163
3.34575	6.675505358
3.3558	6.742788262
3.36585	6.810523976
3.3759	6.87853521
3.38595	6.947160803
3.396	7.016700789
3.40605	7.087830461
3.4161	7.161155009
3.42615	7.236935861
3.4362	7.31519715
3.44625	7.395466472
3.4563	7.477256488
3.46635	7.559950492
3.4764	7.643254466
3.48645	7.727167112
3.4965	7.811820973
3.50655	7.897836389
3.5166	7.986106671
3.52665	8.077144844
3.5367	8.171253907
3.54675	8.268465563
3.5568	8.368197786
3.56685	8.469913029
3.5769	8.573022114
3.58695	8.676996421
3.597	8.781844954
3.60705	8.887812872
3.6171	8.995681391
3.62715	9.106518618
3.6372	9.221093614
3.64725	9.339666963
3.6573	9.462204112
3.66735	9.588178525
3.6774	9.716664999
3.68745	9.84701673
3.6975	9.978685334
3.70755	10.11151961
3.7176	10.24618734
3.72765	10.38383241
3.7377	10.52530714
3.74775	10.67158883
3.7578	10.82333139
3.76785	10.98030876
3.7779	11.14207003
3.78795	11.30705814
3.798	11.47490481
3.80805	11.6443031
3.8181	11.81599357
3.82815	11.99028863
3.8382	12.16842121
3.84825	12.35200059
3.8583	12.54273252
3.86835	12.74057055
3.8784	12.94564655
3.88845	13.15692068
3.8985	13.37294748
3.90855	13.5928651
3.9186	13.81553651
3.92865	14.0411277
3.9387	14.27087202
3.94875	14.50623686
3.9588	14.75001716
3.96885	15.00292339
3.9789	15.26619286
3.98895	15.53951165
3.999	15.82141158
4.00905	16.11058747
4.0191	16.40468029
4.02915	16.70347786
4.0392	17.00701938
4.04925	17.31640005
4.0593	17.63453339
4.06935	17.96467828
4.0794	18.30816562
4.08945	18.66683039
4.0995	19.0396494
4.10955	19.42470521
4.1196	19.82038464
4.12965	20.22366029
4.1397	20.63375668
4.14975	21.05145765
4.1598	21.47823203
4.16985	21.91958775
4.1799	22.37701513
4.18995	22.85595192
4.2	23.35589484
