Elev (deg)	HE SNRmargin (m)
2.7327	17.6997805
2.74275	17.82797888
2.7528	17.96065688
2.76285	18.09848097
2.7729	18.24243632
2.78295	18.39101015
2.793	18.54345556
2.80305	18.69784379
2.8131	18.85202671
2.82315	19.00623222
2.8332	19.16040032
2.84325	19.3161702
2.8533	19.47523222
2.86335	19.63914603
2.8734	19.80970866
2.88345	19.98658536
2.8935	20.16969167
2.90355	20.35738695
2.9136	20.54702749
2.92365	20.73731069
2.9337	20.92731204
2.94375	21.11798959
2.9538	21.310782
2.96385	21.50823987
2.9739	21.71142972
2.98395	21.92261894
2.994	22.14239765
3.00405	22.36898281
3.0141	22.60034115
3.02415	22.8348824
3.0342	23.07054211
3.04425	23.30650401
3.0543	23.54376084
3.06435	23.78384935
3.0744	24.02965053
3.08445	24.28354993
3.0945	24.54736272
3.10455	24.82096503
3.1146	25.10280624
3.12465	25.39109205
3.1347	25.68318956
3.14475	25.97698679
3.1548	26.27202648
3.16485	26.569141
3.1749	26.87100195
3.18495	27.17973681
3.195	27.49870034
3.20505	27.82985097
3.2151	28.17355687
3.22515	28.52799651
3.2352	28.89016172
3.24525	29.25792474
3.2553	29.62789972
3.26535	29.99970142
3.2754	30.37555026
3.28545	30.75731632
3.2955	31.14887323
3.30555	31.5541435
3.3156	31.97465606
3.32565	32.41094277
3.3357	32.86063444
3.34575	33.32037338
3.3558	33.78700114
3.36585	34.25808351
3.3759	34.73225212
3.38595	35.2121426
3.396	35.70011451
3.40605	36.20148782
3.4161	36.72108724
3.42615	37.26108419
3.4362	37.82180201
3.44625	38.39963911
3.4563	38.99083394
3.46635	39.5905514
3.4764	40.19647543
3.48645	40.80860563
3.4965	41.42801493
3.50655	42.05971168
3.5166	42.71095976
3.52665	43.38602553
3.5367	44.08751838
3.54675	44.81586957
3.5568	45.56650602
3.56685	46.33516291
3.5769	47.11709887
3.58695	47.90801348
3.597	48.7079938
3.60705	49.51908201
3.6171	50.34779209
3.62715	51.20309708
3.6372	52.09157202
3.64725	53.01560752
3.6573	53.97514117
3.66735	54.96596309
3.6774	55.98044185
3.68745	57.01321015
3.6975	58.05967085
3.70755	59.11855605
3.7176	60.19557923
3.72765	61.30059455
