pass tile     nadir-lat-start(deg)     nadir-lon-start(deg)     nadir-hdg-start(deg) //Nom_orbit
0001 0181    14.879038710000003221     2.413125969999999842     8.903917030000000565
0001 0182    15.450420870000000306     2.505605769999999843     8.949974100000000377
0001 0183    16.021699779999998725     2.598823079999999841     8.997920690000000832
0001 0184    16.592871070000001055     2.692810759999999970     9.047775180000000361
0001 0185    17.163930349999997560     2.787602349999999785     9.099556869999998909
0001 0186    17.734873119999996050     2.883232070000000480     9.153285959999999832
0001 0187    18.305694819999999368     2.979734890000000025     9.208983639999999582
0001 0188    18.876390810000000187     3.077146529999999824     9.266672029999998728
0001 0189    19.446956409999998527     3.175503550000000175     9.326374310000000278
0001 0190    20.017386810000001418     3.274843330000000385     9.388114670000000217
0001 0191    20.587677140000000264     3.375204160000000009     9.451918400000000275
0001 0192    21.157822380000002482     3.476625250000000555     9.517811910000000708
0001 0193    21.727817510000001278     3.579146799999999740     9.585822759999999221
0001 0194    22.297657319999999004     3.682810040000000562     9.655979719999999489
0001 0195    22.867336510000001226     3.787657249999999642     9.728312790000000376
0001 0196    23.436849710000004166     3.893731869999999873     9.802853279999999003
0001 0197    24.006191420000000392     4.001078500000000204     9.879633809999999627
0001 0198    24.575355929999997073     4.109742980000000045     9.958688420000001429
0001 0199    25.144337509999999725     4.219772449999999786    10.040052559999999460
0001 0200    25.713130230000000864     4.331215389999998777    10.123763209999999901
0001 0201    26.281728019999999191     4.444121729999999992    10.209858900000000403
0001 0202    26.850124650000001481     4.558542850000000257    10.298379759999999550
0001 0203    27.418313770000001028     4.674531729999999996    10.389367650000002286
0001 0204    27.986288829999999450     4.792142950000000567    10.482866160000000377
0001 0205    28.554043069999995197     4.911432809999999094    10.578920710000000227
0001 0206    29.121569579999999178     5.032459409999999522    10.677578640000001897
0001 0207    29.688861249999998648     5.155282720000000651    10.778889300000001228
0001 0208    30.255910760000002568     5.279964679999999966    10.882904090000000252
0001 0209    30.822710550000003593     5.406569300000000133    10.989676579999999362
0001 0210    31.389252860000002698     5.535162749999999576    11.099262650000000008
0001 0211    31.955529680000001491     5.665813469999999796    11.211720489999999373
0001 0212    32.521532720000003280     5.798592269999999438    11.327110820000001468
0001 0213    33.087253419999996140     5.933572469999998766    11.445496920000000074
0001 0214    33.652682980000001578     6.070830009999999888    11.566944790000000864
0001 0215    34.217812270000003139     6.210443579999999741    11.691523269999999357
0001 0216    34.782631819999998868     6.352494749999999968    11.819304170000000553
0001 0217    35.347131889999999999     6.497068129999999719    11.950362429999998426
0001 0218    35.911302360000000533     6.644251540000000844    12.084776250000000886
0001 0219    36.475132690000002356     6.794136109999999285    12.222627250000000387
0001 0220    37.038612049999997566     6.946816519999998718    12.364000640000000431
0001 0221    37.601729120000001672     7.102391149999999875    12.508985450000000839
0001 0222    38.164472160000002532     7.260962270000000274    12.657674610000000825
0001 0223    38.726828990000001340     7.422636260000000874    12.810165270000000604
0001 0224    39.288786969999996757     7.587523820000002139    12.966558960000000411
0001 0225    39.850332860000001745     7.755740170000000155    13.126961780000000246
0001 0226    40.411452969999999141     7.927405369999999785    13.291484719999999697
0001 0227    40.972133010000000297     8.102644489999999422    13.460243870000001110
0001 0228    41.532358059999999966     8.281587940000001424    13.633360679999999121
0001 0229    42.092112559999996790     8.464371729999999872    13.810962299999999914
0001 0230    42.651380289999998752     8.651137809999999817    13.993181839999998317
0001 0231    43.210144329999998547     8.842034410000000122    14.180158719999999661
0001 0232    43.768386960000000840     9.037216329999999687    14.372039020000002552
0001 0233    44.326089619999997637     9.236845349999999399    14.568975839999998456
0001 0234    44.883233009999997876     9.441090680000000290    14.771129730000000180
0001 0235    45.439796780000001775     9.650129270000000759    14.978669069999998698
0001 0236    45.995759679999991931     9.864146379999999326    15.191770519999998612
0001 0237    46.551099460000003205    10.083336000000000965    15.410619580000000539
0001 0238    47.105792710000002899    10.307901369999999730    15.635410999999995951
0001 0239    47.659814869999998166    10.538055520000000342    15.866349380000000835
0001 0240    48.213140189999997176    10.774021919999999142    16.103649770000000530
0001 0241    48.765741570000002980    11.016035040000000222    16.347538279999998423
0001 0242    49.317590479999999786    11.264341059999999572    16.598252739999999505
0001 0243    49.868656909999998561    11.519198559999997755    16.856043429999999717
0001 0244    50.418909270000000333    11.780879329999997651    17.121173879999997069
0001 0245    50.968314229999990062    12.049669169999999596    17.393921630000001244
0001 0246    51.516836630000000241    12.325868760000000535    17.674579130000001470
0001 0247    52.064439419999992253    12.609794640000000499    17.963454750000003912
0001 0248    52.611083419999999933    12.901780219999999133    18.260873719999999309
0001 0249    53.156727179999997190    13.202176790000001105    18.567179219999999873
0001 0250    53.701326930000000459    13.511354830000000149    18.882733580000000018
0001 0251    54.244836300000002893    13.829705130000000679    19.207919509999999974
0001 0252    54.787206159999996657    14.157640170000002300    19.543141439999999420
0001 0253    55.328384460000002321    14.495595610000000519    19.888826959999999389
0001 0254    55.868315959999996778    14.844031779999999898    20.245428369999999063
0001 0255    56.406942039999997007    15.203435310000001479    20.613424299999998368
0001 0256    56.944200350000009792    15.574320970000002262    20.993321529999999342
0001 0257    57.480024700000001303    15.957233589999999523    21.385656910000001574
0001 0258    58.014344549999989908    16.352749970000004964    21.790999289999998467
0001 0259    58.547084850000004508    16.761481249999999221    22.209951869999997598
0001 0260    59.078165569999995910    17.184075109999998432    22.643154410000001064
0001 0261    59.607501420000005510    17.621218400000000059    23.091285840000001173
0001 0262    60.135001249999994855    18.073639669999998603    23.555066820000003958
0001 0263    60.660567780000000937    18.542112240000001577    24.035262780000000049
0001 0264    61.184096949999990045    19.027457089999998630    24.532686840000000217
0001 0265    61.705477420000001132    19.530546180000001755    25.048203099999994947
0001 0266    62.224589979999997524    20.052305940000000106    25.582730139999998897
0001 0267    62.741306880000003332    20.593720909999998270    26.137244679999998453
