pass tile     nadir-lat-start(deg)     nadir-lon-start(deg)     nadir-hdg-start(deg) //Cal_orbit
0001 0163     4.580828989999999656    23.122457610000001438     8.409868189999999188
0001 0164     5.153340169999999887    23.206980290000000622     8.424139609999999223
0001 0165     5.725818679999999716    23.291729350000000665     8.440096060000000122
0001 0166     6.298260839999999305    23.376730459999997436     8.457743029999999607
0001 0167     6.870663010000000348    23.462009500000000628     8.477086660000001217
0001 0168     7.443021429999999938    23.547592549999997402     8.498133660000000589
0001 0169     8.015332389999997531    23.633505939999999157     8.520891400000000004
0001 0170     8.587592139999998153    23.719776280000004931     8.545367860000000704
0001 0171     9.159796849999999324    23.806430420000001646     8.571571670000000864
0001 0172     9.731942780000000681    23.893495560000001632     8.599512130000000809
0001 0173    10.304026040000000108    23.980999220000001060     8.629199200000000403
0001 0174    10.876042749999999870    24.068969239999997711     8.660643520000000706
0001 0175    11.447989030000000454    24.157433890000000076     8.693856419999999474
0001 0176    12.019860910000002008    24.246421789999999419     8.728849959999999797
0001 0177    12.591654399999999470    24.335962030000001022     8.765636900000000509
0001 0178    13.163365460000001406    24.426084129999996009     8.804230770000000206
0001 0179    13.734990010000000638    24.516818109999999109     8.844645829999999265
0001 0180    14.306523959999999818    24.608194470000000820     8.886897160000000184
0001 0181    14.877963089999999724    24.700244290000000547     8.931000600000000844
0001 0182    15.449303170000000307    24.792999169999998088     8.976972840000000176
0001 0183    16.020539930000001760    24.886491360000000839     9.024831400000000059
0001 0184    16.591668970000000627    24.980753690000000233     9.074594680000000579
0001 0185    17.162685939999999363    25.075819700000000267     9.126281979999999905
0001 0186    17.733586299999995362    25.171723589999999149     9.179913510000000443
0001 0187    18.304365519999997503    25.268500320000001125     9.235510420000000664
0001 0188    18.875018959999998458    25.366185619999999545     9.293094879999999947
0001 0189    19.445541909999995767    25.464815999999999008     9.352690029999999766
0001 0190    20.015929549999999182    25.564428859999999588     9.414320070000000484
0001 0191    20.586177039999999039    25.665062450000000638     9.478010310000000160
0001 0192    21.156279349999998374    25.766755990000000054     9.543787130000000118
0001 0193    21.726231429999998568    25.869549650000003282     9.611678100000002445
